City,Average Education Index,Crime Index,Population,Average Education Index Rank,Crime Index Rank
Shorewood Hills,17.58,1020,1783,1,211
Maple Bluff,16.66,649,1445,2,113
River Hills,16.48,360,1501,3,28
Fox Point,16.4,446,6695,4,45
Elm Grove,16.25,432,5985,5,41
Whitefish Bay,16.25,455,14132,6,47
Bayside,16,253,4479,7,19
Shorewood,16,1022,13245,8,212
Mequon,15.7,293,23300,11,22
Kohler,15.54,751,2315,13,147
Chenequa,15.4,194,536,17,12
Brookfield,15.34,921,37971,18,197
Middleton,15.24,914,18185,21,196
Wauwatosa,15.23,1518,46838,22,264
Madison,15.23,1651,239848,24,274
Cedarburg,15.16,370,11485,26,34
Verona,15.13,702,11353,28,125
Mcfarland,15.12,728,8009,29,138
Waunakee,15.08,438,12613,31,43
Delafield,15,682,7136,32,119
Pewaukee,15,460,13599,33,49
Bayfield,15,1656,550,34,275
Glendale,14.97,2001,12893,35,285
Thiensville,14.9,308,3198,36,24
Hudson,14.83,1521,13023,38,265
Monona,14.82,1861,7711,39,280
Williams Bay,14.78,593,2604,40,95
Cottage Grove,14.62,773,6533,43,153
Oregon,14.61,710,9629,44,129
Sun Prairie,14.57,884,30601,45,183
River Falls,14.55,1192,15050,46,232
Fitchburg,14.51,1221,26050,48,235
Grafton,14.46,495,11539,52,67
Brown Deer,14.44,1180,12067,53,230
Pewaukee village,14.43,658,8233,54,115
Greendale,14.42,1247,14208,56,240
New Berlin,14.41,521,39712,57,74
Oconomowoc,14.38,492,15990,59,62
Menomonee Falls,14.37,475,35828,60,54
Hartland,14.35,480,9161,61,56
Germantown,14.34,725,19791,62,137
North Hudson,14.33,180,3776,63,10
Port Washington,14.32,466,11401,65,50
Onalaska,14.31,873,18148,67,178
Elkhart Lake,14.31,735,961,68,142
Mount Horeb,14.22,690,7286,72,123
Three Lakes,14.21,495,519,73,68
Platteville,14.2,836,11480,75,169
Minocqua,14.19,1279,350,77,243
De Pere,14.16,571,24216,79,90
Eau Claire,14.15,1171,67036,81,229
Muskego,14.13,361,24387,84,29
Washburn,14.12,905,2190,85,194
Stevens Point,14.12,1151,26778,86,226
Altoona,14.12,978,6940,87,204
Lake Mills,14.11,549,5768,88,84
Green Lake,14.09,703,1022,91,126
Whitewater,14.08,895,14801,92,188
Cross Plains,14.08,388,3755,93,37
Mukwonago,14.08,712,7426,94,130
Waukesha,14.06,857,71083,95,175
Pleasant Prairie,14.06,626,20015,98,105
Stoughton,14.05,757,12886,99,148
Mount Pleasant,14.05,1040,26220,101,216
Deerfield,14.04,639,2468,102,108
Hales Corners,14.04,742,7749,103,144
Franklin,14.02,714,35920,105,133
North Prairie,14.01,170,2284,106,8
Caledonia,14,610,24689,107,100
Eagle,13.97,440,1864,110,44
La Crosse,13.94,1559,51864,112,267
Columbus,13.93,738,5014,114,143
Lodi,13.91,837,3050,115,170
Appleton,13.89,1164,72861,119,228
Holmen,13.89,704,9335,120,127
Saint Croix Falls,13.86,1096,2059,124,221
Fall River,13.84,459,1563,128,48
Mineral Point,13.84,672,2659,129,117
Oak Creek,13.83,1132,34823,131,224
Kronenwetter,13.83,415,7330,134,40
Evansville,13.83,698,5089,135,124
Ashland,13.81,2130,8167,137,290
Neenah,13.8,782,25697,139,155
Belleville,13.8,525,2759,140,75
Spring Green,13.79,492,1701,141,66
Blue Mounds,13.77,824,870,144,165
Ashwaubenon,13.75,1461,17065,147,257
East Troy,13.74,1157,4300,150,227
Winneconne,13.74,332,2506,151,26
Plover,13.72,815,12195,154,163
Barneveld,13.71,492,1223,155,63
Saukville,13.69,844,4479,160,171
Lake Hallie,13.69,1329,6550,163,247
West Salem,13.68,614,4895,164,103
West Bend,13.68,857,31496,165,174
Trempealeau,13.67,188,1698,167,11
Dodgeville,13.66,611,4693,171,101
Viroqua,13.66,667,4378,174,116
New Richmond,13.65,878,8501,175,179
Sturgeon Bay,13.64,570,9093,178,89
Rothschild,13.63,731,5279,180,140
Superior,13.63,2234,26932,181,292
Walworth,13.62,648,2825,182,112
Iron River,13.61,510,799,183,70
Plymouth,13.61,885,8408,185,184
Hortonville,13.6,990,2701,187,206
Coon Valley,13.6,512,766,188,72
Poynette,13.59,363,2516,192,30
Big Bend,13.58,1010,1327,195,209
Pulaski,13.58,612,3507,196,102
Fort Atkinson,13.56,760,12436,198,149
Fountain City,13.56,599,910,199,97
Combined Locks,13.56,221,3407,200,16
Cuba City,13.56,627,1899,201,106
Greenfield,13.56,1240,36990,202,238
Prescott,13.56,1229,4222,203,236
Marshfield,13.55,894,18514,205,187
Elkhorn,13.54,826,10020,206,166
Fennimore,13.54,820,2416,207,164
Twin Lakes,13.54,805,6033,208,161
Fall Creek,13.52,387,1316,212,36
Cleveland,13.51,390,1599,214,38
Hartford,13.5,747,14251,218,146
Rosendale,13.5,0,860,221,1
Richland Center,13.49,735,5128,222,141
Slinger,13.49,648,5131,223,111
Sheboygan Falls,13.48,481,7796,225,58
Lancaster,13.48,483,3830,226,60
Brownsville,13.48,746,648,227,145
